total_accuracy,f1_whisper,recall_whisper,clf_label,total_samples,positives,negatives,nearMiss_ratio,nearMiss_samples,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info,userInput
0.7201736111111111,0.7074517843267842,0.72875,whisper,54,27,27,1,0,26,0.2,5,5,5,20,Id3Estimator,None,experiment_3_date_2019-09-18
0.6986458333333334,0.7512026862026862,0.8937499999999999,whisper,54,27,27,1,0,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_3_date_2019-09-18
0.7765277777777777,0.7772764041514042,0.813125,whisper,54,27,27,1,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.5083333333333333,0.2758241758241758,0.39,whisper,54,27,27,1,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.8072569444444444,0.7963744588744588,0.81375,whisper,54,27,27,1,0,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_3_date_2019-09-18
0.6646875000000001,0.6691644466644466,0.6887499999999999,whisper,54,27,27,1,0,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_3_date_2019-09-18
0.731736111111111,0.6930656843156844,0.6775,whisper,54,27,27,1,0,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_3_date_2019-09-18
0.7753472222222222,0.7732695082695082,0.7975,whisper,54,27,27,1,0,26,0.2,5,5,5,20,GaussianNB,None,experiment_3_date_2019-09-18
0.768888888888889,0.7715399877899878,0.80875,whisper,54,27,27,1,0,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_3_date_2019-09-18
0.7736458333333334,0.7885814185814185,0.840625,whisper,54,27,27,1,0,26,0.2,5,5,5,20,MLPClassifier,None,experiment_3_date_2019-09-18
0.8805208333333332,0.893074494949495,0.9568750000000001,whisper,54,27,27,2,0,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_3_date_2019-09-18
0.6942708333333334,0.6871990509490509,0.708125,whisper,54,27,27,2,0,26,0.2,5,5,5,20,Id3Estimator,None,experiment_3_date_2019-09-18
0.7000347222222221,0.7461041042291042,0.86375,whisper,54,27,27,2,0,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_3_date_2019-09-18
0.7168055555555557,0.7340580253080253,0.8018749999999999,whisper,54,27,27,2,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.5458333333333334,0.5310141941391942,0.724375,whisper,54,27,27,2,0,26,0.2,5,5,5,20,SVC,None,experiment_3_date_2019-09-18
0.7730902777777777,0.7721302308802309,0.804375,whisper,54,27,27,2,0,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_3_date_2019-09-18
0.7305902777777777,0.7182859501609502,0.7268749999999999,whisper,54,27,27,2,0,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_3_date_2019-09-18
0.7593749999999999,0.7351745476745477,0.715625,whisper,54,27,27,2,0,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_3_date_2019-09-18
0.7891666666666667,0.7859632034632035,0.819375,whisper,54,27,27,2,0,26,0.2,5,5,5,20,GaussianNB,None,experiment_3_date_2019-09-18
0.701388888888889,0.697419733044733,0.7124999999999999,whisper,54,27,27,2,0,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_3_date_2019-09-18
0.7430555555555556,0.7572619741369742,0.799375,whisper,54,27,27,2,0,26,0.2,5,5,5,20,MLPClassifier,None,experiment_3_date_2019-09-18
0.8753124999999999,0.8870752164502165,0.9518749999999998,whisper,54,27,27,10,0,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_3_date_2019-09-18
0.7337500000000001,0.7229442085692086,0.74625,whisper,54,27,27,10,0,26,0.2,5,5,5,20,Id3Estimator,None,experiment_3_date_2019-09-18
